구명,읍면동명,선거인수,투표수,유효득표수,1위정당,1위후보,1위득표수,1위득표율,무효투표수,기권자수,더불어민주당_정원오_득표수,국민의힘_오세훈_득표수,개혁신당_김정철_득표수,여성의당_유지혜_득표수,정의당_권영국_득표수
종로구,청운효자동,9091,5977,5907,더불어민주당,정원오,3129,52.9711,70,3114,3129,2574,44,49,111
종로구,사직동,7314,4315,4274,국민의힘,오세훈,2449,57.3,41,2999,1695,2449,33,42,55
종로구,삼청동,1725,1049,1042,국민의힘,오세훈,553,53.071,7,676,467,553,5,4,13
종로구,부암동,7226,4432,4397,더불어민주당,정원오,2210,50.2615,35,2794,2210,2064,29,26,68
종로구,평창동,14007,8519,8458,국민의힘,오세훈,4644,54.9066,61,5488,3625,4644,51,42,96
종로구,무악동,6177,4352,4310,국민의힘,오세훈,2129,49.3968,42,1825,2062,2129,29,37,53
종로구,교남동,7802,5278,5234,국민의힘,오세훈,2707,51.7195,44,2524,2377,2707,39,33,78
종로구,가회동,3079,1904,1888,더불어민주당,정원오,1005,53.2309,16,1175,1005,836,15,13,19
종로구,종로1·2·3·4가동,5657,2855,2814,국민의힘,오세훈,1521,54.0512,41,2802,1215,1521,27,19,32
종로구,종로5·6가동,4552,2414,2381,국민의힘,오세훈,1229,51.617,33,2138,1092,1229,18,19,23
종로구,이화동,6207,3629,3572,더불어민주당,정원오,1843,51.5957,57,2578,1843,1594,29,45,61
종로구,혜화동,13728,8349,8246,더불어민주당,정원오,4033,48.9086,103,5379,4033,3817,111,129,156
종로구,창신제1동,4449,2874,2829,더불어민주당,정원오,1592,56.2743,45,1575,1592,1183,16,16,22
종로구,창신제2동,6348,3735,3682,더불어민주당,정원오,2044,55.5133,53,2613,2044,1581,15,19,23
종로구,창신제3동,5157,3310,3284,더불어민주당,정원오,1674,50.9744,26,1847,1674,1540,15,20,35
종로구,숭인제1동,4815,2827,2796,더불어민주당,정원오,1473,52.6824,31,1988,1473,1273,10,15,25
종로구,숭인제2동,8969,4867,4802,더불어민주당,정원오,2524,52.5614,65,4102,2524,2128,45,53,52
중구,소공동,1917,1136,1128,국민의힘,오세훈,609,53.9894,8,781,478,609,10,10,21
중구,회현동,3645,2032,2007,국민의힘,오세훈,1183,58.9437,25,1613,778,1183,18,13,15
중구,명동,1955,991,979,국민의힘,오세훈,541,55.2605,12,964,421,541,7,4,6
중구,필동,3931,2290,2266,국민의힘,오세훈,1228,54.1924,24,1641,975,1228,20,19,24
중구,장충동,4064,2246,2207,국민의힘,오세훈,1138,51.5632,39,1818,992,1138,27,24,26
중구,광희동,4775,2526,2495,국민의힘,오세훈,1495,59.9198,31,2249,941,1495,22,21,16
중구,을지로동,2734,1663,1651,국민의힘,오세훈,932,56.4506,12,1071,677,932,14,6,22
중구,신당동,6422,3518,3466,국민의힘,오세훈,1723,49.7115,52,2904,1648,1723,26,41,28
중구,다산동,10579,6128,6051,국민의힘,오세훈,2964,48.9836,77,4451,2933,2964,51,40,63
중구,약수동,13385,8795,8688,국민의힘,오세훈,4606,53.0157,107,4590,3891,4606,74,46,71
중구,청구동,8896,6053,5985,국민의힘,오세훈,3212,53.6675,68,2843,2636,3212,49,40,48
중구,신당제5동,8583,5198,5136,더불어민주당,정원오,2648,51.5576,62,3385,2648,2369,39,38,42
중구,동화동,8118,5483,5429,국민의힘,오세훈,2728,50.2487,54,2635,2602,2728,36,34,29
중구,황학동,11478,6592,6506,국민의힘,오세훈,3230,49.6465,86,4886,3132,3230,51,50,43
중구,중림동,9736,6337,6285,국민의힘,오세훈,3241,51.5672,52,3399,2874,3241,51,51,68
용산구,후암동,12758,7604,7512,더불어민주당,정원오,3663,48.762,92,5154,3663,3644,51,60,94
용산구,용산2가동,7508,4161,4111,더불어민주당,정원오,2013,48.9662,50,3347,2013,1983,25,22,68
용산구,남영동,5998,2965,2919,국민의힘,오세훈,1512,51.7986,46,3033,1336,1512,18,19,34
용산구,청파동,15792,8674,8581,더불어민주당,정원오,4104,47.8266,93,7118,4104,4062,78,207,130
용산구,원효로제1동,14089,8778,8712,국민의힘,오세훈,4878,55.9917,66,5311,3564,4878,69,88,113
용산구,원효로제2동,10890,6904,6848,국민의힘,오세훈,3784,55.257,56,3986,2873,3784,47,66,78
